Fuel system status: Fuel system 2	Short Term Fuel Trim - Bank 1 [%]	Long Term Fuel Trim - Bank 1 [%]	Bank 1 - Sensor 1 (O2S): Short Term Fuel Trim [%]	Bank 1 - Sensor 2 (O2S): Short Term Fuel Trim [%]	Engine RPM [RPM]	Air Flow Rate from Mass Flow Sensor [lb/min]	Intake Air Temperature [°F]	Absolute Throttle Position [%]	Vehicle Speed Sensor [mph]	Ignition Timing Advance for #1 Cylinder	Engine Coolant Temperature [°F]	Battery voltage [V]	Calculated engine load [%]	Bank 1 - Sensor 2 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 1 (O2S): Oxygen Sensor Output Voltage [V]	Fuel consumption [MPG]	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string
					class	class	class	class	class	class	class	class	class	class	class	class	meta
	12.5	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	19.6	0.2	0.055	0.0	13:28:54.919
	15.6	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	19.6	0.2	0.055	0.0	13:28:55.168
	15.6	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	19.6	0.2	0.055	0.0	13:28:55.425
	15.6	19.5	13.3		1033.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	19.6	0.2	0.055	0.0	13:28:55.698
	15.6	19.5	13.3		1033.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	19.6	0.2	0.055	0.0	13:28:55.950
	15.6	19.5	13.3		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.2	0.055	0.0	13:28:56.198
	15.6	19.5	13.3		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.2	0.055	0.0	13:28:56.450
	15.6	19.5	13.3		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.2	0.055	0.0	13:28:56.708
	15.6	19.5	13.3		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.2	0.055	0.0	13:28:56.954
	15.6	19.5	13.3		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.2	0.055	0.0	13:28:57.199
	15.6	19.5	13.3		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.2	0.83	0.0	13:28:57.445
	15.6	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.2	0.83	0.0	13:28:57.445
	15.6	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.64	0.83	0.0	13:28:57.693
	15.6	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.64	0.83	0.0	13:28:57.959
	15.6	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.64	0.83	0.0	13:28:58.499
	15.6	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.64	0.83	0.0	13:28:58.734
	15.6	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.64	0.83	0.0	13:28:58.985
	15.6	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	19.6	0.64	0.83	0.0	13:28:58.985
	15.6	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	18.8	0.64	0.83	0.0	13:28:59.233
	15.6	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	18.8	0.64	0.83	0.0	13:28:59.481
	18.8	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	18.8	0.64	0.83	0.0	13:28:59.747
	18.8	19.5	16.4		1033.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	18.8	0.64	0.83	0.0	13:28:59.998
	18.8	19.5	16.4		1060.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	18.8	0.64	0.83	0.0	13:29:00.248
	18.8	19.5	16.4		1060.0	0.5	93.0	10.6	0.0	14.0	159.0	14.0	18.8	0.64	0.83	0.0	13:29:00.504
	18.8	19.5	16.4		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.64	0.83	0.0	13:29:00.750
	18.8	19.5	16.4		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.64	0.83	0.0	13:29:01.000
	18.8	19.5	16.4		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.64	0.83	0.0	13:29:01.270
	18.8	19.5	16.4		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.64	0.83	0.0	13:29:01.520
	18.8	19.5	16.4		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.64	0.83	0.0	13:29:01.768
	18.8	19.5	16.4		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.64	0.295	0.0	13:29:02.039
	18.8	19.5	18.8		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.64	0.295	0.0	13:29:02.039
	18.8	19.5	18.8		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.455	0.295	0.0	13:29:02.313
	18.8	19.5	18.8		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.455	0.295	0.0	13:29:02.569
	18.8	19.5	18.8		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.455	0.295	0.0	13:29:03.084
	18.8	19.5	18.8		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.455	0.295	0.0	13:29:03.320
	18.8	19.5	18.8		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.455	0.295	0.0	13:29:03.594
	18.8	19.5	18.8		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.455	0.295	0.0	13:29:03.594
	18.8	19.5	18.8		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.455	0.295	0.0	13:29:03.845
	18.8	19.5	18.8		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.455	0.295	0.0	13:29:04.092
	18.8	19.5	18.8		1060.0	0.5	93.0	10.6	0.0	13.5	159.0	14.0	18.8	0.455	0.295	0.0	13:29:04.344
